"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","20-Nov-2019","       1509.75","       1555.05","       1572.40","       1543.20","       1548.50","       1547.65","       1559.65","   19904164","         31043534027.20","     376334"
"RELIANCE","EQ","21-Nov-2019","       1547.65","       1545.00","       1556.00","       1528.55","       1540.50","       1537.60","       1538.44","    6810577","         10477684602.20","     160090"
"RELIANCE","EQ","22-Nov-2019","       1537.60","       1542.10","       1569.50","       1537.60","       1548.05","       1546.50","       1551.32","   10218978","         15852947451.80","     200632"
"RELIANCE","EQ","25-Nov-2019","       1546.50","       1551.15","       1564.80","       1551.00","       1562.00","       1561.55","       1559.10","    6924313","         10795666734.40","     119670"
"RELIANCE","EQ","26-Nov-2019","       1561.55","       1568.10","       1576.35","       1556.00","       1561.20","       1560.25","       1563.16","   16152137","         25248383481.15","     218748"
"RELIANCE","EQ","27-Nov-2019","       1560.25","       1559.95","       1575.50","       1556.10","       1575.10","       1569.85","       1564.27","    4408336","          6895829807.95","     107469"
"RELIANCE","EQ","28-Nov-2019","       1569.85","       1572.65","       1584.15","       1563.95","       1582.00","       1580.30","       1576.23","    6284885","          9906407921.85","     163816"
"RELIANCE","EQ","29-Nov-2019","       1580.30","       1581.95","       1581.95","       1547.85","       1553.00","       1551.15","       1558.76","    8484822","         13225831193.95","     237128"
"RELIANCE","EQ","02-Dec-2019","       1551.15","       1600.00","       1614.45","       1577.00","       1586.90","       1586.50","       1592.74","   14275186","         22736671350.65","     273497"
"RELIANCE","EQ","03-Dec-2019","       1586.50","       1592.75","       1594.00","       1572.60","       1582.00","       1578.90","       1580.07","    5938786","          9383687343.45","     132025"
"RELIANCE","EQ","04-Dec-2019","       1578.90","       1573.00","       1577.50","       1533.75","       1554.50","       1552.70","       1551.77","    9594828","         14888958079.40","     246981"
"RELIANCE","EQ","05-Dec-2019","       1552.70","       1574.00","       1579.75","       1544.00","       1551.00","       1550.85","       1561.41","    9117022","         14235446632.55","     217414"
"RELIANCE","EQ","06-Dec-2019","       1550.85","       1553.00","       1568.00","       1541.10","       1554.50","       1554.90","       1555.30","    5982129","          9304004869.50","     127437"
"RELIANCE","EQ","09-Dec-2019","       1554.90","       1556.15","       1577.40","       1546.50","       1572.95","       1572.60","       1565.26","    5779807","          9046924671.40","     142669"
"RELIANCE","EQ","10-Dec-2019","       1572.60","       1572.05","       1573.60","       1554.15","       1564.90","       1561.95","       1561.68","    4650906","          7263249188.05","     135279"
"RELIANCE","EQ","11-Dec-2019","       1561.95","       1555.60","       1574.50","       1550.60","       1561.00","       1562.40","       1560.15","    5652698","          8819046877.75","     159685"
"RELIANCE","EQ","12-Dec-2019","       1562.40","       1570.25","       1573.85","       1556.65","       1571.10","       1568.20","       1564.76","    4720977","          7387206059.95","     134048"
"RELIANCE","EQ","13-Dec-2019","       1568.20","       1580.00","       1590.00","       1572.40","       1584.05","       1582.90","       1580.61","    5791522","          9154160089.40","     138857"
"RELIANCE","EQ","16-Dec-2019","       1582.90","       1592.00","       1593.90","       1564.35","       1571.00","       1566.60","       1575.62","    5436951","          8566568694.20","     143743"
"RELIANCE","EQ","17-Dec-2019","       1566.60","       1566.75","       1579.00","       1555.55","       1567.00","       1562.70","       1564.71","    9291724","         14538834627.90","     188391"
"RELIANCE","EQ","18-Dec-2019","       1562.70","       1563.00","       1580.00","       1562.00","       1577.15","       1575.85","       1569.63","    6739582","         10578662434.20","     220134"
"RELIANCE","EQ","19-Dec-2019","       1575.85","       1573.70","       1614.90","       1571.80","       1613.00","       1609.95","       1595.68","    9375484","         14960269698.60","     194045"
"RELIANCE","EQ","20-Dec-2019","       1609.95","       1615.00","       1617.55","       1596.10","       1600.00","       1599.10","       1604.60","    9724619","         15604131778.50","     164538"
"RELIANCE","EQ","23-Dec-2019","       1599.10","       1560.10","       1577.55","       1557.80","       1570.95","       1571.40","       1567.33","   11478429","         17990493039.75","     259306"
"RELIANCE","EQ","24-Dec-2019","       1571.40","       1568.90","       1572.05","       1542.50","       1544.50","       1546.45","       1555.42","    8251144","         12833955162.85","     194127"
