"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"SBIN","N6","15-Mar-2018","      11201.50","      10600.00","      10600.00","      10600.00","      10600.00","      10600.00","      10600.00","         19","              201400.00","          2"
"SBIN","EQ","16-Mar-2018","        253.70","        250.65","        255.70","        250.10","        252.70","        252.30","        253.17","   25728297","          6513583560.35","     150302"
"SBIN","N2","16-Mar-2018","      10536.77","      10450.00","      10499.00","      10450.00","      10450.00","      10450.00","      10485.35","         62","              650092.00","         12"
"SBIN","N5","16-Mar-2018","      10632.07","      10649.99","      10658.00","      10638.00","      10638.00","      10638.58","      10641.59","       1174","            12493231.97","         96"
"SBIN","EQ","19-Mar-2018","        252.30","        252.90","        253.60","        246.10","        247.90","        247.95","        248.80","   18167594","          4520035974.55","     112744"
"SBIN","N2","19-Mar-2018","      10450.00","      10468.00","      10489.00","      10468.00","      10472.00","      10474.63","      10473.15","         72","              754067.00","          8"
"SBIN","N5","19-Mar-2018","      10638.58","      10660.00","      10660.00","      10635.00","      10635.00","      10637.97","      10643.61","       1619","            17232009.45","        101"
"SBIN","N6","19-Mar-2018","      10600.00","      10600.00","      10600.00","      10400.00","      10600.00","      10466.66","      10500.00","          4","               42000.00","          3"
"SBIN","EQ","20-Mar-2018","        247.95","        246.85","        252.25","        245.35","        250.00","        249.10","        249.43","   20556571","          5127356465.00","     127033"
"SBIN","N2","20-Mar-2018","      10474.63","      10480.00","      10500.00","      10480.00","      10500.00","      10484.50","      10484.50","         10","              104845.00","          3"
"SBIN","N5","20-Mar-2018","      10637.97","      10659.90","      10660.00","      10620.00","      10620.00","      10626.58","      10633.89","       1010","            10740227.17","         98"
"SBIN","EQ","21-Mar-2018","        249.10","        251.75","        254.30","        247.10","        247.45","        248.00","        251.20","   19533972","          4906986303.65","     103548"
"SBIN","N2","21-Mar-2018","      10484.50","      10450.00","      10460.00","      10445.00","      10460.00","      10459.59","      10453.23","         41","              428582.33","         14"
"SBIN","N5","21-Mar-2018","      10626.58","      10664.99","      10664.99","      10625.00","      10637.00","      10644.52","      10637.91","       2039","            21690702.88","        100"
"SBIN","N6","21-Mar-2018","      10466.66","      10700.00","      10700.00","      10700.00","      10700.00","      10700.00","      10700.00","          3","               32100.00","          1"
"SBIN","EQ","22-Mar-2018","        248.00","        247.00","        247.35","        240.65","        241.50","        241.55","        243.47","   26828240","          6531830043.10","     169794"
"SBIN","N2","22-Mar-2018","      10459.59","      10465.00","      10465.00","      10450.00","      10450.00","      10450.00","      10461.25","          4","               41845.00","          2"
"SBIN","N5","22-Mar-2018","      10644.52","      10627.00","      10655.00","      10559.60","      10615.05","      10632.84","      10643.01","       1942","            20668726.34","        160"
"SBIN","EQ","23-Mar-2018","        241.55","        237.80","        239.65","        232.35","        234.70","        234.80","        234.77","   27150262","          6374113933.75","     205532"
"SBIN","N2","23-Mar-2018","      10450.00","      10420.20","      10425.02","      10420.20","      10425.02","      10425.02","      10423.82","          4","               41695.26","          3"
"SBIN","N5","23-Mar-2018","      10632.84","      10606.03","      10690.00","      10606.03","      10690.00","      10671.43","      10647.04","        351","             3737110.34","         65"
"SBIN","EQ","26-Mar-2018","        234.80","        234.75","        247.85","        234.25","        247.20","        246.50","        241.69","   30373940","          7341009624.05","     191534"
"SBIN","N2","26-Mar-2018","      10425.02","      10590.00","      10590.00","      10425.00","      10520.00","      10485.47","      10498.27","         31","              325446.34","         11"
